tag, type, x, y, z, ad1, time, real_time, acc
1,Linearaccel,-0.7925205,-1.4034164,0.3304608,0,9970,1475565885739,3
1,Linearaccel,-0.5844002,-2.1561341,0.2587571,0,10020,1475565885789,3
1,Linearaccel,0.007920265,-2.470037,0.31364036,0,10071,1475565885840,3
1,Linearaccel,0.49058914,-2.2962356,0.16837478,0,10121,1475565885890,3
1,Linearaccel,1.3788204,-2.3756528,0.046165586,0,10172,1475565885941,3
1,Linearaccel,2.1901932,-2.0390701,0.09370494,0,10222,1475565885991,3
1,Linearaccel,-0.95597744,-1.2045646,-0.3458736,0,10272,1475565886041,3
1,Linearaccel,-0.63526535,-1.2707782,-0.66114116,0,10323,1475565886092,3
1,Linearaccel,1.3883123,-0.42802858,-0.72315884,0,10373,1475565886142,3
1,Linearaccel,0.6947613,0.96422696,-0.7463653,0,10423,1475565886192,3
1,Linearaccel,-0.30340385,0.9137175,-0.6932682,0,10474,1475565886243,3
1,Linearaccel,0.16113472,1.3981457,-1.062269,0,10524,1475565886293,3
1,Linearaccel,-0.33082485,1.7154408,-1.174254,0,10574,1475565886343,3
1,Linearaccel,-0.16438103,1.9749961,-0.9091797,0,10625,1475565886394,3
1,Linearaccel,-0.03499174,1.9602003,-1.0944977,0,10675,1475565886444,3
1,Linearaccel,0.7825403,1.9044161,-1.1503177,0,10725,1475565886494,3
1,Linearaccel,1.2928505,1.658598,-0.98138714,0,10776,1475565886545,3
1,Linearaccel,1.6895247,1.7933493,-0.53537416,0,10826,1475565886595,3
1,Linearaccel,2.6227827,1.4292035,-0.5173547,0,10876,1475565886645,3
1,Linearaccel,1.580967,1.2735982,-0.33825278,0,10927,1475565886696,3
1,Linearaccel,-0.77352333,0.9246638,-0.18385983,0,10977,1475565886746,3
1,Linearaccel,0.3769207,-0.2877636,-0.39543235,0,11028,1475565886797,3
1,Linearaccel,0.77390957,-0.36756015,-0.25823975,0,11078,1475565886847,3
1,Linearaccel,-0.5337391,-0.4837749,0.13393962,0,11128,1475565886897,3
